User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
1,Ronald Murphy,williamholland@example.com,williamholland,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
2,Scott Allen,scott22@example.org,scott22,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
3,Jonathan Parrish,brooke16@example.org,brooke16,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
4,Megan Williams,elizabeth31@example.net,elizabeth31,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
6,Sandra Cox,gparks@example.org,gparks,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
8,James Smith,adrienne49@example.org,adrienne49,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
9,Bradley Green,brittany02@example.net,brittany02,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8
10,Kayla Hernandez,jessica53@example.net,jessica53,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
11,Douglas Hampton,tonya16@example.com,tonya16,1997-11-28,Female,Cynthiaport,2024-03-24,2025-03-24,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4.0,1
12,Andrew Gomez,brian80@example.org,brian80,1952-09-08,Female,Hillberg,2024-03-07,2025-03-07,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
13,Kevin Mayo,hochoa@example.net,hochoa,1981-11-18,Female,Michaeltown,2024-01-10,2025-01-09,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0
14,Gregory Thomas,egriffin@example.com,egriffin,1989-08-17,Female,Harrisport,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0
15,Melanie Burns,meyerstacy@example.net,meyerstacy,2003-04-07,Male,East Janetfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10
16,Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19,Female,Port Jeremyfurt,2024-01-03,2025-01-02,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5.0,0
17,Robert Gonzalez,cday@example.com,cday,1952-05-02,Female,Quinnberg,2024-03-25,2025-03-25,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3
18,Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16,Female,New Brandon,2024-01-23,2025-01-22,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6
19,Michael Smith,paige55@example.org,paige55,1945-08-30,Female,South Michaelhaven,2024-01-27,2025-01-26,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6
20,Joseph Owens,christopher25@example.org,christopher25,1979-09-29,Female,Port Derekton,2024-03-15,2025-03-15,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2
21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05,Male,New Matthewbury,2024-03-15,2025-03-15,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6
22,Heidi Brock,karen47@example.org,karen47,1967-02-17,Male,Lake Gloriaport,2024-01-15,2025-01-14,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2
23,Tracy Hardin,ronald82@example.net,ronald82,1996-02-13,Female,North Audrey,2024-04-14,2025-04-14,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7
24,Maria White,castillokatie@example.com,castillokatie,1968-06-19,Male,West Raymond,2024-03-26,2025-03-26,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0
25,Eric Johnson,lgreer@example.org,lgreer,1994-10-02,Female,North Jacob,2024-01-18,2025-01-17,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
26,Kenneth Jones,glen97@example.net,glen97,1986-09-22,Female,Shafferland,2024-02-12,2025-02-11,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7
27,Joel Cole,nyates@example.com,nyates,2005-03-29,Male,West Richardbury,2024-02-19,2025-02-18,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0
28,Brittany Noble,carol56@example.com,carol56,1976-11-05,Male,New John,2024-01-26,2025-01-25,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3.0,9
29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05,Female,North Marymouth,2024-01-07,2025-01-06,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7
30,Stephen Perkins,julie52@example.com,julie52,1976-09-16,Female,West James,2024-01-31,2025-01-30,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9
31,Christopher Davis,urobinson@example.net,urobinson,1955-09-19,Male,Randallton,2024-02-25,2025-02-24,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10
32,Rodney Jones,zfrost@example.net,zfrost,1967-10-14,Female,Port Kimberly,2024-01-03,2025-01-02,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9
33,Cheryl Johnson,louis25@example.com,louis25,1995-03-28,Male,Lisaton,2024-01-22,2025-01-21,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4
34,Whitney Underwood,ujones@example.com,ujones,2002-07-23,Female,New Jenniferport,2024-03-30,2025-03-30,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10
35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11,Male,New Jason,2024-04-05,2025-04-05,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6
36,Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03,Female,Clineshire,2024-01-17,2025-01-16,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10
